Series Name,Series Code,Country Name,Country Code,1998 [YR1998],1999 [YR1999],2000 [YR2000],2001 [YR2001],2002 [YR2002],2003 [YR2003],2004 [YR2004],2005 [YR2005],2006 [YR2006],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016]
GDP per capita (current US$),NY.GDP.PCAP.CD,Afghanistan,AFG,..,..,..,117.409690794955,187.845094955388,198.728543552291,219.141352785465,250.29412990949,272.563077018147,369.835795969823,373.361116300036,445.893297923744,553.300289383064,603.53702306241,669.009050888028,638.612543202424,629.345250369145,569.5779229167,561.77874627093
GDP per capita (current US$),NY.GDP.PCAP.CD,Albania,ALB,865.302161769888,1098.42546340677,1175.78898079471,1326.97033929809,1453.64277657175,1890.68155733514,2416.58823505194,2709.14293061386,3005.01290331851,3603.01368536638,4370.53964653148,4114.13654490945,4094.35883191918,4437.17806843608,4247.61430826246,4413.08169670601,4578.66672753259,3952.83078116586,4131.87234065272
GDP per capita (current US$),NY.GDP.PCAP.CD,Algeria,DZA,1588.48144916691,1581.00456398017,1757.01779715994,1732.85797888376,1774.0336730152,2094.33550572581,2598.90802346666,3100.12237758677,3464.61007870202,3935.18334285931,4905.25486576261,3868.83123040908,4463.39467488951,5432.41331978116,5565.13452104848,5471.12338878709,5466.42577841535,4160.22006671831,3916.88157088626
GDP per capita (current US$),NY.GDP.PCAP.CD,American Samoa,ASM,..,..,..,..,8751.76652874972,8914.52543261668,8639.30885529158,8508.40691498359,8456.94799658994,8980.53641434813,9871.99719445906,12058.26382343,10352.8227618312,10375.9942154736,11660.329531052,11589.8530023324,11598.7517362051,11865.9632317194,11834.7452292307
GDP per capita (current US$),NY.GDP.PCAP.CD,Andorra,AND,18894.5214963227,19261.7105038886,21936.5301014708,22228.8464928922,24741.4935704562,32776.4422698769,38503.4796144857,41282.0201219785,43748.7721588999,48582.8084550866,47785.6590856793,43339.3798746543,39736.3540626699,41098.7669417228,38391.0808669785,40619.7112977795,42294.9947269717,36038.2676044596,37231.8156714154
GDP per capita (current US$),NY.GDP.PCAP.CD,Angola,AGO,419.664969758931,385.769705914153,555.299384532021,526.168742996854,711.181789161759,779.468317011824,1041.087109209,1443.99192381072,2062.41521212341,2878.83730535623,3868.57901446005,3347.84490031366,3531.41687831962,4299.00813636005,4539.4676892715,4804.63382589612,4707.57809784664,3683.5526074127,3308.77282845577
GDP per capita (current US$),NY.GDP.PCAP.CD,Antigua and Barbuda,ATG,9115.23453172274,9363.1866398544,9932.02978773184,9414.16061299198,9443.06370219244,9801.96706621506,10419.311195125,11452.7388020156,12812.7644704316,14350.9190458994,14797.3684231605,13082.2816597386,12174.6978594572,11931.2041070835,12517.5579290917,12194.6087607071,12946.9869363675,13659.1479142644,14462.1762794658
GDP per capita (current US$),NY.GDP.PCAP.CD,Argentina,ARG,8248.76198864344,7736.36962254054,7669.27391554066,7170.69467365192,2579.19316821209,3330.43700583548,4251.57434819873,5076.8838291729,5878.76102735208,7193.61763973522,8953.35927526277,8161.30696648652,10276.2604977053,12726.9083594731,12969.7071238969,12976.6364245411,12245.2564487696,13698.2934384857,12654.3549989958
GDP per capita (current US$),NY.GDP.PCAP.CD,Armenia,ARM,609.173025391007,597.433479008799,622.742748815172,694.430511932268,783.261609869997,930.166156701539,1191.96191990706,1643.75854298145,2158.00290895457,3138.80870341248,4010.02699722693,2993.83253109033,3218.38165488465,3526.97814267659,3684.80481032649,3843.5912130934,3994.71235479566,3617.93574555176,3605.74311684256
GDP per capita (current US$),NY.GDP.PCAP.CD,Aruba,ABW,19081.351656125,19356.2033894901,20620.7006259175,20670.6556635493,20434.2994364477,20834.5101990131,22567.8249248908,23302.8319880055,24014.9442670501,25921.026051998,27546.8993898034,24631.4348604167,24271.9404205267,25324.7203624669,..,..,..,..,..
GDP per capita (current US$),NY.GDP.PCAP.CD,Australia,AUS,21318.9641694318,20521.7775705928,21669.410913094,19482.5679026647,20074.2293129481,23437.3121454327,30401.5547862944,33961.6818019217,36019.203051188,40905.4708936845,49535.2578737769,42709.8033034787,51936.8887116461,62411.7854473961,67864.6898624672,67990.2900304798,62327.5559390333,56561.4123818054,49896.6811009246
GDP per capita (current US$),NY.GDP.PCAP.CD,Austria,AUT,27361.8751106437,27174.2971559775,24564.4582948404,24537.5142629883,26401.7454564357,32222.8972411655,36821.5214680093,38403.1338770715,40635.2818159724,46855.7717452095,51708.7657541758,47963.1794023217,46858.0432733717,51374.9584066934,48567.69528642,50716.7087062864,51704.5411875921,44206.7842820834,44731.0108553361
GDP per capita (current US$),NY.GDP.PCAP.CD,Azerbaijan,AZE,561.910074202206,573.91347179735,655.119945170816,703.683843432722,763.073085847085,883.64399654717,1045.02162987002,1578.40239029603,2473.08181863536,3851.43786871172,5574.60380218613,4950.29479142375,5842.80578358576,7189.69122920765,7496.29464768263,7875.75695254288,7891.31314749986,5500.31038244408,3880.73873089556
GDP per capita (current US$),NY.GDP.PCAP.CD,"Bahamas, The",BHS,23557.9535268565,26173.7154769528,27112.2562019537,27439.3587015686,28727.0221926076,28092.4857322025,28076.1551006741,29874.6541371424,30274.9903224846,31018.0294921829,30188.4844382751,28129.6075027617,27979.1149343739,27472.2561707514,28815.527404385,28171.9860036051,28671.3469695344,30483.8201004038,30260.3059054474
GDP per capita (current US$),NY.GDP.PCAP.CD,Bahrain,BHR,10076.187784535,10401.4804488927,13636.3466837798,12868.2109970281,13102.3345682658,14221.9925934886,15846.4764093173,17959.1785373542,19307.9954920205,20977.1105261075,23067.5653465171,19356.6723557874,20722.1038895508,22512.1596038712,23649.3666139101,24737.1717830704,24983.3790153356,22688.8782442968,22560.5812707477
GDP per capita (current US$),NY.GDP.PCAP.CD,Bangladesh,BGD,395.297460669815,397.35482187218,405.603307141767,402.598115151563,400.613574533353,432.738897240785,460.75791673039,484.155407057992,494.050146576549,541.065148395087,615.777541053092,681.120536769049,757.671757176894,835.789340127412,856.342857027401,951.889453456343,1084.56542980269,1210.15876939761,1358.77902884543
GDP per capita (current US$),NY.GDP.PCAP.CD,Barbados,BRB,10727.5958385041,11200.5776328426,11567.6661219135,11513.9368638824,11675.3475419739,12028.4803385025,12868.7873273012,14223.2554405147,15439.9921465683,16381.4955640051,16613.7192186615,15922.9001328689,15959.0297922874,16610.4183520372,16536.2146421152,16326.9134788626,16261.7993189477,16129.0492827663,15891.6265491446
