Series Name,Series Code,Country Name,Country Code,1990 [YR1990],2000 [YR2000],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017]
"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,Afghanistan,AFG,..,..,1247.06614429099,1482.09883711417,1581.60083598967,1660.73985617959,1873.15394552307,1913.16064354474,1937.23536529999,1926.3573363363,1944.11700479836,1980.51617731097
"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,Albania,ALB,2722.28034358589,4029.01697070654,8228.33710618171,8813.25200258571,9637.3453676511,10207.7646993323,10526.241215339,10570.9529979079,11259.2645003792,11334.2209323295,11559.3008437783,12020.6907323424
"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,Algeria,DZA,6616.4083524606,8093.53089306002,12162.2643470867,12242.178137001,12610.2480535971,12990.345016498,13404.4117836409,13715.7435787744,14203.89540132,14614.970429045,15013.2963798624,15275.3742169614
"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,American Samoa,ASM,..,..,..,..,..,..,..,..,..,..,..,..
"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,Andorra,AND,..,..,..,..,..,..,..,..,..,..,..,..
"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,Angola,AGO,2217.43838007191,2277.37461138374,5743.09888126617,5718.68552313564,5778.38080340779,5911.25409210655,6110.42339175039,6403.76755557708,6591.53881963735,6631.61869398451,6440.99024209186,6388.96002177353
"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,Antigua and Barbuda,ATG,10587.5934085171,14987.4111579957,23162.685755127,20271.086351499,18824.073146248,18605.3167543472,19398.0594771818,19480.1025975588,20619.871374785,21462.2869423222,22661.4885361636,23593.9328326039
"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,Argentina,ARG,6990.5540452718,11810.0613643332,17711.4417867571,16618.1208523782,18333.5436985461,19629.3518451916,19579.0064837139,20161.4968324254,19802.1000113587,20356.9155095569,20042.5400197144,20786.6793277368
"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,Armenia,ARM,2418.86092636919,2318.23807343875,7260.96875587368,6323.57833605451,6567.25858179835,7022.10394338388,7649.49140943212,7997.38712848925,8397.09917770072,8727.55832544865,8832.76343477124,9647.48611321476
"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,Aruba,ABW,..,..,..,..,..,35973.780509792,..,..,..,..,..,..
"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,Australia,AUS,17338.467195325,26316.9478781358,37409.163067008,40234.4179183421,39274.7642268777,41894.1730524786,42733.9362506181,45794.4042715848,46742.8026541949,46220.2512642307,46144.120814482,47046.6704568767
"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,Austria,AUT,19452.4663616687,29375.4047955407,41316.225176699,40919.1505775576,42047.0326758635,44452.7327457999,46457.3457770311,47922.0491207455,48787.4915916798,49883.0412977321,50521.4826240632,52557.478993485
"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,Azerbaijan,AZE,5502.43398864152,3534.32914766215,13799.7861400733,14900.5086642522,15627.6056198817,15754.1523626148,16180.8871503047,17171.7613655507,17608.3706329028,17782.0261527141,17256.6269704411,17398.1635635792
"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,"Bahamas, The",BHS,20031.1331443759,26149.417144362,29857.2715580086,28325.8786827257,28630.870368075,28941.0282297787,29937.1021672165,29878.0470407833,29977.565612183,30249.7382259305,29779.7979962432,30430.1694807172
"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,Bahrain,BHR,22694.907256237,35622.601699238,40557.0243120659,39412.1674086511,39749.8493845143,40164.5827403304,41714.8436088807,44168.3779484071,46180.0376163635,46775.7403335698,47066.7630999618,47526.9042824434
"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,Bangladesh,BGD,832.434081719866,1301.46328479352,2163.55442727762,2264.87149858925,2393.31583163503,2570.85014525476,2756.44346659312,2934.64435240001,3131.92266183321,3335.75979065344,3579.75598102606,3868.8223032186
"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,Barbados,BRB,9329.38396327777,12260.2352012989,16512.9010930927,15906.753310353,16085.8495835757,16472.0832008577,16767.0360265371,16982.0993649935,17233.4355534,17525.6492569711,18054.740747176,18639.4517435856
