Country Name;1995;1996;1997;1998;1999;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016
Afghanistan;;;;;;;1.174.096.908;187.845.095;1.987.285.436;2.191.413.528;2.502.941.299;272.563.077;369.835.796;3.733.611.163;4.458.932.979;5.533.002.894;6.035.370.231;6.690.090.509;6.386.125.432;6.293.452.503;5.695.779.229;5.617.787.463
Albania;7.605.593.758;1.046.358.511;749.584.649;8.653.021.618;1.098.425.463;1.175.788.981;1.326.970.339;1.453.642.777;1.890.681.557;2.416.588.235;2.709.142.931;3.005.012.903;3.603.013.685;4.370.539.647;4.114.136.545;4.094.358.832;4.437.178.068;4.247.614.308;4.413.081.697;4.578.666.728;3.934.895.394;412.498.239
Algeria;1.444.908.036;1.596.029.867;1.612.009.303;1.588.481.449;1.581.004.564;1.757.017.797;1.732.857.979;1.774.033.673;2.094.335.506;2.598.908.023;3.100.122.378;3.464.610.079;3.935.183.343;4.905.254.866;386.883.123;4.463.394.675;543.241.332;5.565.134.521;5.471.123.389;5.466.425.778;4.160.220.067;3.916.881.571
Andorra;1.846.106.486;1.901.717.459;1.835.305.972;188.945.215;192.617.105;219.365.301;2.222.884.649;2.474.149.357;3.277.644.227;3.850.347.961;4.128.202.012;4.374.877.216;4.858.280.846;4.778.565.909;4.333.937.987;3.973.635.406;4.109.876.694;3.839.108.087;406.197.113;4.229.499.473;360.382.676;3.698.862.203
Angola;3.531.820.451;5.126.209.659;5.068.849.522;4.156.933.459;3.857.688.535;5.552.969.419;526.168.743;711.181.716;7.794.683.056;1.041.086.844;1.443.991.929;2.062.415.149;2.878.837.144;3.868.578.883;334.784.485;3.529.053.482;4.299.012.889;4.598.249.988;4.804.616.884;4.709.312.024;3.695.793.748;3.308.700.233
Antigua and Barbuda;7.841.464.034;8.379.576.739;8.755.156.499;9.115.234.532;936.318.664;9.932.029.681;9.414.160.591;9.443.063.591;9.801.966.935;1.041.931.113;1.145.273.878;1.281.276.444;1.435.091.889;1.479.736.842;1.308.228.166;1.217.469.786;1.193.120.411;1.251.755.793;1.219.460.876;1.294.698.694;1.365.914.791;1.446.217.628
Argentina;7.373.428.246;7.683.574.065;8.172.664.323;8.248.761.989;7.736.369.623;7.669.273.916;7.170.694.674;2.579.193.168;3.330.437.006;4.251.574.348;5.076.883.829;5.878.761.027;719.361.764;8.953.359.275;8.161.306.966;102.762.605;1.272.690.836;1.296.970.712;1.297.663.642;1.224.525.645;1.346.710.236;1.244.032.098
Armenia;4.563.758.998;504.059.514;5.232.835.691;6.091.730.254;5.974.334.817;6.227.427.477;6.944.305.119;7.832.616.099;9.301.661.567;119.196.192;1.643.758.543;2.158.002.909;3.138.808.703;4.010.026.997;2.993.832.531;3.218.381.655;3.526.978.143;368.480.481;3.843.591.213;3.994.712.355;3.617.935.746;3.614.688.357
Aruba;1.644.179.064;1.658.519.553;1.792.657.284;1.908.135.166;1.935.620.339;2.062.070.063;2.067.065.566;2.043.429.944;208.345.102;2.256.782.492;2.330.283.199;2.401.494.427;2.592.102.605;2.754.689.939;2.463.143.486;2.427.194.042;2.532.472.036;;;;;
Australia;2.038.466.929;2.194.415.506;2.355.122.217;2.136.598.141;2.056.147.678;21.690.921;1.951.784.168;2.008.181.763;2.346.538.559;3.047.237.977;3.401.671.483;3.611.828.381;4.099.198.289;4.966.468.504;4.274.299.898;5.187.408.048;6.224.510.029;6.763.531.555;6.770.868.929;6.209.961.441;5.640.834.043;4.975.531.548
Austria;3.032.584.958;2.980.907.677;267.054.786;2.736.187.511;2.717.429.716;2.456.445.829;2.453.751.426;2.640.174.546;3.222.289.724;3.682.152.147;3.840.313.388;4.063.528.182;4.685.577.175;5.170.876.575;479.631.794;4.685.804.327;5.137.495.841;4.856.769.529;5.071.938.828;5.173.348.192;4.425.558.336;447.576.349
Azerbaijan;3.971.981.161;4.092.167.452;5.055.605.732;5.619.103.017;5.738.902.562;6.550.974.326;7.036.838.434;7.630.730.858;8.836.439.965;104.502.163;157.840.239;2.473.085.776;3.851.437.869;5.574.603.802;4.950.294.791;5.842.805.784;7.189.691.229;7.496.335.728;7.875.756.953;7.891.299.776;5.500.310.382;3.878.709.257
Bahamas, The;122.398.715;1.271.715.001;1.728.793.602;1.845.660.898;2.050.594.743;212.412.367;2.149.752.091;2.250.635.114;2.200.920.043;2.199.640.649;2.340.545.302;2.371.910.788;2.430.124.325;2.365.233.053;2.203.710.801;2.192.155.906;2.152.397.372;288.155.274;2.830.346.729;2.837.435.794;2.905.609.066;2.878.547.767
Bahrain;1.037.693.489;1.054.466.713;1.067.218.394;1.007.618.778;1.040.148.045;1.363.634.668;12.868.211;1.310.233.457;1.422.199.259;1.584.647.641;1.795.917.854;1.930.799.549;2.097.711.053;2.306.756.535;1.935.667.236;2.072.210.389;225.121.596;2.364.936.661;2.473.717.178;2.498.337.902;2.268.887.824;2.257.909.342
Bangladesh;3.196.086.944;3.829.357.493;3.895.236.244;3.952.974.607;3.973.548.219;4.056.033.071;4.025.981.152;4.006.135.745;4.327.388.972;4.607.579.167;4.841.554.071;4.940.501.466;5.410.651.484;6.157.775.411;6.811.205.368;7.576.717.572;8.357.893.401;856.342.857;9.518.894.535;108.456.543;1.210.158.769;1.358.779.029
Barbados;8.537.056.187;9.069.168.909;9.549.894.079;1.072.759.584;1.120.057.763;1.156.766.612;1.151.393.686;1.167.534.754;1.202.848.034;1.286.878.733;1.422.325.544;1.543.999.215;1.638.149.556;1.661.371.922;1.592.290.013;1.595.902.979;1.661.041.835;1.653.621.464;1.632.691.348;1.626.179.932;1.612.904.928;1.589.162.655
Belarus;1.370.672.043;1.452.447.002;1.396.502.166;1.511.770.268;12.106.116;1.276.288.034;1.244.373.185;1.479.383.142;1.819.525.644;2.378.339.207;3.126.071.767;3.848.215.966;4.735.484.827;6.377.369.732;517.626.383;60.293.968;6.519.230.195;6.940.159.254;7.978.872.615;831.851.269;5.949.106.307;4.989.427.763
Belgium;2.856.591.915;2.770.190.329;2.502.774.459;2.554.167.472;2.544.413.926;2.320.740.591;2.312.160.114;2.505.233.939;3.074.390.254;3.558.968.912;3.696.725.918;3.885.237.293;444.037.669;484.245.756;4.488.057.302;4.438.017.663;4.770.281.189;4.474.058.325;4.658.266.955;4.737.917.392;4.037.538.864;4.127.148.215
Belize;2.996.382.928;3.001.665.138;2.952.602.141;2.991.924.971;3.065.492.248;3.364.423.711;3.419.275.719;3.556.561.825;3.679.909.523;3.831.538.019;3.933.332.215;418.737.803;4.324.876.427;4.470.220.796;4.258.788.611;4.344.150.177;451.624.675;467.363.848;4.688.538.443;4.852.223.666;4.849.997.495;4.744.736.397
Benin;367.387.341;3.874.329.246;3.611.002.698;379.442.354;4.036.237.038;3.741.923.942;378.736.054;4.186.985.763;5.192.922.847;5.834.093.514;601.799.977;625.830.092;7.060.535.419;8.201.513.498;79.345.243;7.576.959.074;8.259.427.854;8.379.505.001;9.152.674.586;943.686.575;783.947.091;7.894.404.107
Bermuda;3.398.972.236;4.482.678.907;4.847.888.325;5.137.174.081;5.424.545.974;5.628.416.865;5.888.395.943;625.831.002;6.611.172.523;7.035.931.911;7.588.203.386;839.126.978;9.084.958.698;9.360.574.817;8.846.331.282;8.820.732.756;8.597.315.842;8.545.845.551;8.574.806.541;;;
Bhutan;5.885.939.027;6.093.430.176;6.921.262.064;6.952.902.533;7.515.757.717;7.658.632.358;8.079.387.673;8.856.382.245;9.977.417.141;1.097.457.088;1.247.061.392;1.335.456.906;1.741.142.552;1.795.181.307;1.770.234.497;2.178.921.383;2.458.045.976;2.422.008.016;2.350.882.889;2.504.717.407;261.531.022;2.773.547.135
Bolivia;8.874.685.243;9.584.737.662;1.006.964.739;105.871.875;1.012.509.773;1.007.002.869;9.582.366.524;9.135.756.423;9.173.643.105;9.783.346.485;1.046.427.384;1.233.594.435;1.389.634.888;1.736.935.051;1.776.866.476;1.981.160.705;2.377.675.918;2.645.227.753;2.947.938.526;312.400.031;3.077.026.199;3.104.956.089
Bosnia and Herzegovina;4.856.172.767;7.369.753.294;978.516.728;1.097.644.555;1.246.497.114;146.175.052;1.524.412.022;1.761.537.647;2.214.732.246;2.650.642.661;2.968.411.806;3.404.321.698;4.180.292.176;5.078.314.577;4.701.334.426;4.614.829.041;5.054.325.344;4.722.013.403;5.042.582.213;5.204.243.718;4.584.242.548;4.808.405.425
Botswana;3.014.867.858;3.022.176.753;3.065.527.268;2.869.182.503;3.226.295.674;3.349.068.823;3.128.097.793;3.055.618.382;4.163.065.906;4.896.583.835;5.351.253.732;5.374.554.867;5.714.047.937;5.623.379.566;5.185.729.845;6.346.156.204;7.645.214.612;702.923.145;7.007.625.786;7.497.762.378;6.532.044.677;6.924.149.775
Brazil;4.840.787.782;5.156.805.408;5.271.411.137;5.075.631.114;3.469.503.972;3.739.119.036;3.146.950.177;2.819.649.531;3.059.587.582;3.623.047.667;4.770.182.746;5.860.145.975;7.313.557.962;8.787.610.375;855.338.047;1.122.415.408;1.316.747.289;1.229.146.685;1.221.690.446;1.202.661.731;8.757.206.202;8.649.948.492
British Virgin Islands;;;;;;;;;;;;;;;;;;;;;;
Brunei Darussalam;1.592.916.376;1.678.903.717;1.665.608.988;1.269.068.932;1.409.793.159;1.800.844.826;1.646.812.886;1.684.602.198;1.855.556.649;2.189.660.527;2.610.213.345;3.098.096.692;3.267.236.717;379.512.806;2.796.547.504;3.526.810.117;470.170.273;4.765.125.909;4.459.727.968;4.153.066.898;3.096.789.051;2.693.941.751
Bulgaria;1.554.046.931;1.208.850.233;134.691.277;1.771.993.943;1.643.609.895;1.609.280.586;1.764.907.387;2.087.534.843;2.710.468.024;3.381.507.837;389.368.998;451.313.628;5.932.899.677;7.261.754.492;6.969.558.557;6.843.263.289;7.813.803.499;7.378.025.539;7.674.860.559;7.853.335.191;699.347.736;7.469.025.247
Burkina Faso;2.358.321.973;2.493.602.944;2.294.931.177;2.557.182.334;2.653.401.156;2.264.759.814;2.354.912.324;2.607.635.413;3.323.443.051;3.713.230.865;4.069.988.071;4.226.332.374;4.751.100.122;5.697.612.784;5.527.455.521;5.754.464.527;6.668.404.101;6.738.228.182;699.781.537;7.038.216.565;5.753.144.542;6.271.030.788
Burundi;1.677.991.717;1.438.532.933;1.591.755.281;1.444.746.122;1.286.964.397;1.359.984.455;1.337.427.689;1.224.335.893;1.128.493.703;1.274.296.648;1.505.070.434;1.658.794.176;1.707.999.005;1.962.472.628;2.049.446.502;2.311.943.256;2.604.799.073;2.652.856.051;2.827.555.252;3.127.489.794;3.006.765.569;2.857.274.421
Cabo Verde;1.251.902.319;125.880.907;1.201.956.656;1.250.615.376;1.389.719.796;1.239.377.855;1.268.884.564;1.373.515.636;1.768.921.302;1.976.458.506;204.813.459;2.304.289.902;3.112.285.712;3.638.905.946;34.445.566;3.312.825.985;3.670.429.453;3.408.482.762;3.558.796.314;3.529.618.403;2.954.119.467;299.775.268
Cambodia;3.230.099.928;3.193.632.544;304.837.993;269.054.641;2.959.735.957;3.006.850.949;3.212.263.004;3.390.676.984;3.624.213.785;4.086.105.184;4.742.238.766;5.398.791.529;631.675.789;7.457.877.873;7.382.326.684;7.856.928.841;8.824.901.462;9.500.244.132;1.028.419.568;1.098.687.123;116.318.977;1.269.907.238
Cameroon;7.164.369.269;761.151.765;7.647.846.067;7.307.326.938;7.519.782.914;6.601.926.971;6.617.774.417;7.198.896.584;8.810.102.086;1.027.823;1.030.038.193;1.081.369.831;1.215.808.213;1.396.824.988;1.338.884.377;1.309.122.208;1.429.647.553;1.380.509.848;1.493.746.567;1.571.182.535;135.392.449;1.374.514.172
