Country Name,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
Afghanistan,8577,10990,11408,5514,7093,2429,3349,2295,3180,2185,3007,1890,3086,4130,4121,3977,3297,2789,4568
Albania,1828,2257,1513,195,1675,160,1449,1269,1227,1075,1084,221,198,183,267,223,344,417,498
Algeria,3093,2833,3025,287,3269,205,2306,1747,1591,1620,1689,229,202,231,204,181,255,364,306
Andorra,45,39,31,8,28,10,40,41,22,48,32,15,8,10,4,8,9,15,14
Angola,878,1357,1835,1853,4437,1149,676,479,482,495,385,74,79,63,80,48,80,71,122
Antigua and Barbuda,17,32,18,5,16,2,20,21,10,9,19,10,4,3,8,10,7,4,9
Argentina,1570,1633,2000,500,3344,453,1559,1583,1506,1634,1877,379,363,364,383,452,468,529,597
Armenia,2614,3649,2365,650,2158,392,1309,1071,1026,919,895,413,573,610,518,353,364,348,298
Aruba,1343,1490,1825,1749,1800,1361,1142,923,1210,1247,1334,1397,1388,1481,1306,1248,1224,1291,1270
Australia,3899,5184,5777,3170,6536,2737,5944,6040,6855,7401,8155,3112,3127,3074,2763,2981,3481,3621,3963
Austria,15506,16907,17093,17019,15605,1105,14514,14789,15978,17112,18167,1178,1196,1129,1132,1166,1255,1189,1409
Azerbaijan,2439,3905,3987,1168,3394,406,2735,1486,1840,999,1058,281,338,369,340,303,319,287,363
"Bahamas, The",42,60,44,23,36,14,49,49,40,62,40,16,11,5,24,14,10,12,18
Bahrain,81,82,74,49,81,48,83,81,90,122,158,51,65,88,56,73,76,51,118
Bangladesh,1305,1113,1008,364,974,419,882,1061,1037,1057,1203,934,1218,663,688,625,668,808,855
Barbados,52,53,52,23,37,25,48,46,69,41,34,17,11,16,25,35,16,27,33
Belarus,2274,2951,3822,431,4815,427,4038,2931,2148,1898,1850,391,380,387,355,276,323,322,332
Belgium,12000,11747,11419,6722,10792,6334,10575,10724,11222,12005,13225,8051,8041,8531,8938,8671,8998,8903,9572
Belize,17,14,17,2,22,2,20,29,10,23,24,10,5,3,7,9,5,4,8
